divide_id,gw_Coeff,gw_Zmax,gw_Expon,bexp_soil_layers_stag=1,bexp_soil_layers_stag=2,bexp_soil_layers_stag=3,bexp_soil_layers_stag=4,ISLTYP,IVGTYP,dksat_soil_layers_stag=1,dksat_soil_layers_stag=2,dksat_soil_layers_stag=3,dksat_soil_layers_stag=4,psisat_soil_layers_stag=1,psisat_soil_layers_stag=2,psisat_soil_layers_stag=3,psisat_soil_layers_stag=4,cwpvt,mfsno,mp,quartz_soil_layers_stag=1,quartz_soil_layers_stag=2,quartz_soil_layers_stag=3,quartz_soil_layers_stag=4,refkdt,slope,smcmax_soil_layers_stag=1,smcmax_soil_layers_stag=2,smcmax_soil_layers_stag=3,smcmax_soil_layers_stag=4,smcwlt_soil_layers_stag=1,smcwlt_soil_layers_stag=2,smcwlt_soil_layers_stag=3,smcwlt_soil_layers_stag=4,vcmx25
cat-2625775,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,4.993626412338636e-07,4.993626412338636e-07,4.993626412338636e-07,4.993626412338636e-07,0.0902826847942821,0.0902826847942821,0.0902826847942821,0.0902826847942821,0.21058522140464017,2.0,12.571822652893292,0.39728121590231824,0.39728121590231824,0.39728121590231824,0.39728121590231824,2.0048314171460975,0.06015171057531393,0.46906582164054605,0.46906582164054605,0.46906582164054605,0.46906582164054605,0.07105438326257497,0.07105438326257497,0.07105438326257497,0.07105438326257497,55.16378958582784
cat-2629669,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,2.2465731520743194e-07,2.2465731520743194e-07,2.2465731520743194e-07,2.2465731520743194e-07,0.041414905846329494,0.041414905846329494,0.041414905846329494,0.041414905846329494,0.21621228364381226,2.0,12.568652158047215,0.40045700815209395,0.40045700815209395,0.40045700815209395,0.40045700815209395,2.009517178394995,0.06255575886140735,0.46791830560802794,0.46791830560802794,0.46791830560802794,0.46791830560802794,0.06659890474193064,0.06659890474193064,0.06659890474193064,0.06659890474193064,54.27198633780007
cat-2625776,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,2.9398793865887997e-07,2.9398793865887997e-07,2.9398793865887997e-07,2.9398793865887997e-07,0.032832274841242785,0.032832274841242785,0.032832274841242785,0.032832274841242785,0.2053610235452652,2.0,12.574766159057615,0.4680055767842924,0.4680055767842924,0.4680055767842924,0.4680055767842924,2.0004811286926274,0.057919777929782874,0.46406945842963165,0.46406945842963165,0.46406945842963165,0.46406945842963165,0.05953947056611276,0.05953947056611276,0.05953947056611276,0.05953947056611276,55.99174499511719
cat-2629687,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,1.4790003685266412e-07,1.4790003685266412e-07,1.4790003685266412e-07,1.4790003685266412e-07,0.05897499911134211,0.05897499911134211,0.05897499911134211,0.05897499911134211,0.2053610235452652,2.0,12.574766159057617,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,2.000481128692627,0.057919777929782874,0.4658736884593963,0.4658736884593963,0.4658736884593963,0.4658736884593963,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,55.99174499511719
cat-2625236,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,1.6533409428625837e-07,1.6533409428625837e-07,1.6533409428625837e-07,1.6533409428625837e-07,0.14797168892760632,0.14797168892760632,0.14797168892760632,0.14797168892760632,0.2053610235452652,2.0,12.574766159057615,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,2.0004811286926274,0.05791977792978286,0.4658736884593964,0.4658736884593964,0.4658736884593964,0.4658736884593964,0.06599999964237215,0.06599999964237215,0.06599999964237215,0.06599999964237215,55.99174499511719
cat-2628665,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,3.92981247330898e-06,3.92981247330898e-06,3.92981247330898e-06,3.92981247330898e-06,0.08528741988315285,0.08528741988315285,0.08528741988315285,0.08528741988315285,0.2053610235452652,2.0,12.574766159057617,0.45184089686441065,0.45184089686441065,0.45184089686441065,0.45184089686441065,2.000481128692627,0.05791977792978286,0.46449831742720615,0.46449831742720615,0.46449831742720615,0.46449831742720615,0.061075115122370655,0.061075115122370655,0.061075115122370655,0.061075115122370655,55.99174499511719
cat-2625237,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,1.0431976866957088e-07,1.0431976866957088e-07,1.0431976866957088e-07,1.0431976866957088e-07,0.09336472567991429,0.09336472567991429,0.09336472567991429,0.09336472567991429,0.2053610235452652,2.0,11.786734893321832,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,2.000481128692627,0.05791977792978287,0.46587368845939636,0.46587368845939636,0.46587368845939636,0.46587368845939636,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,58.62339852507527
cat-2629914,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,2.367458013727574e-06,2.367458013727574e-06,2.367458013727574e-06,2.367458013727574e-06,0.0832383731441755,0.0832383731441755,0.0832383731441755,0.0832383731441755,0.20504937156353276,2.0,12.558519120676081,0.3986930001107698,0.3986930001107698,0.3986930001107698,0.3986930001107698,2.0036199777062964,0.0583212459920616,0.4665796647425181,0.4665796647425181,0.4665796647425181,0.4665796647425181,0.06696718375301608,0.06696718375301608,0.06696718375301608,0.06696718375301608,55.93458366196813
cat-2629688,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,3.228187942013202e-07,3.228187942013202e-07,3.228187942013202e-07,3.228187942013202e-07,0.04056415476915865,0.04056415476915865,0.04056415476915865,0.04056415476915865,0.2053610235452652,2.0,12.574766159057617,0.4000000059604644,0.4000000059604644,0.4000000059604644,0.4000000059604644,2.000481128692627,0.05791977792978286,0.46587368845939636,0.46587368845939636,0.46587368845939636,0.46587368845939636,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,55.99174499511718
cat-2625238,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,1.7277723201153083e-07,1.7277723201153083e-07,1.7277723201153083e-07,1.7277723201153083e-07,0.15463319250243743,0.15463319250243743,0.15463319250243743,0.15463319250243743,0.20536102354526523,2.0,12.224446269771681,0.4085887110110777,0.4085887110110777,0.4085887110110777,0.4085887110110777,2.000481128692627,0.05791977792978287,0.4656458247802685,0.4656458247802685,0.4656458247802685,0.4656458247802685,0.06518407268176113,0.06518407268176113,0.06518407268176113,0.06518407268176113,57.16164854252664
cat-2629908,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,4.344353558630798e-07,4.344353558630798e-07,4.344353558630798e-07,4.344353558630798e-07,0.03813687046205493,0.03813687046205493,0.03813687046205493,0.03813687046205493,0.2053610235452652,2.0,12.502140133273999,0.4236775651144204,0.4236775651144204,0.4236775651144204,0.4236775651144204,2.000481128692627,0.057919777929782874,0.4652455081097635,0.4652455081097635,0.4652455081097635,0.4652455081097635,0.06375063157566978,0.06375063157566978,0.06375063157566978,0.06375063157566978,56.234281738810765
cat-2627897,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,1.1467668802900066e-06,1.1467668802900066e-06,1.1467668802900066e-06,1.1467668802900066e-06,0.04202354455807012,0.04202354455807012,0.04202354455807012,0.04202354455807012,0.21374683196546118,2.0,12.570041284647779,0.4346918748569135,0.4346918748569135,0.4346918748569135,0.4346918748569135,2.0074641501105335,0.06150244460436475,0.4663003720791044,0.4663003720791044,0.4663003720791044,0.4663003720791044,0.06270427217475183,0.06270427217475183,0.06270427217475183,0.06270427217475183,54.66272269740581
